               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051974,             0.00132,           0.0069817,                   0,                   0,                   0,                   0,                   0,          0.00019848,                   0,              0.0701,           0.0033222,           0.0033222
                   1,            0.045461,           0.0014036,            0.006888,                   0,                   0,                   0,                   0,                   0,          0.00014275,                   0,             0.03998,           0.0065358,           0.0065358
                   2,            0.048947,           0.0012908,            0.007204,                   0,                   0,                   0,                   0,                   0,          9.9771e-05,                   0,           0.0097404,           0.0096293,           0.0096293
                   3,            0.045384,           0.0014335,            0.007034,                   0,                   0,                   0,                   0,                   0,          0.00010396,                   0,             0.00946,             0.00946,             0.00946
                   4,            0.044663,           0.0014735,           0.0071736,                   0,                   0,                   0,                   0,                   0,          9.8477e-05,                   0,             0.00946,             0.00946,             0.00946
                   5,            0.042285,           0.0014957,           0.0072144,                   0,                   0,                   0,                   0,                   0,          0.00011411,                   0,             0.00928,             0.00928,             0.00928
                   6,            0.040032,           0.0015087,           0.0075367,                   0,                   0,                   0,                   0,                   0,          0.00014676,                   0,              0.0091,              0.0091,              0.0091
                   7,            0.037118,           0.0014589,           0.0071693,                   0,                   0,                   0,                   0,                   0,          0.00014321,                   0,             0.00892,             0.00892,             0.00892
                   8,            0.035993,           0.0015074,           0.0070462,                   0,                   0,                   0,                   0,                   0,          0.00013596,                   0,             0.00874,             0.00874,             0.00874
                   9,            0.035516,           0.0013843,           0.0070545,                   0,                   0,                   0,                   0,                   0,          0.00016002,                   0,             0.00856,             0.00856,             0.00856
                  10,             0.03479,           0.0015145,           0.0070432,                   0,                   0,                   0,                   0,                   0,          0.00018564,                   0,             0.00838,             0.00838,             0.00838
                  11,            0.033605,           0.0014854,           0.0074478,                   0,                   0,                   0,                   0,                   0,          0.00020357,                   0,              0.0082,              0.0082,              0.0082
                  12,            0.035696,            0.001411,           0.0073274,                   0,                   0,                   0,                   0,                   0,          0.00018886,                   0,             0.00802,             0.00802,             0.00802
                  13,            0.034898,            0.001436,           0.0074385,                   0,                   0,                   0,                   0,                   0,          0.00017499,                   0,             0.00784,             0.00784,             0.00784
                  14,            0.033638,           0.0014257,           0.0071367,                   0,                   0,                   0,                   0,                   0,          0.00022737,                   0,             0.00766,             0.00766,             0.00766
                  15,            0.033013,           0.0014123,           0.0074871,                   0,                   0,                   0,                   0,                   0,          0.00021423,                   0,             0.00748,             0.00748,             0.00748
                  16,            0.032356,           0.0014487,           0.0073715,                   0,                   0,                   0,                   0,                   0,          0.00019106,                   0,              0.0073,              0.0073,              0.0073
                  17,            0.029754,           0.0013117,           0.0073045,                   0,                   0,                   0,                   0,                   0,          0.00022756,                   0,             0.00712,             0.00712,             0.00712
                  18,            0.030116,           0.0012797,           0.0073991,                   0,                   0,                   0,                   0,                   0,          0.00023132,                   0,             0.00694,             0.00694,             0.00694
                  19,            0.029206,           0.0012634,           0.0072584,                   0,                   0,                   0,                   0,                   0,          0.00028258,                   0,             0.00676,             0.00676,             0.00676
                  20,            0.030271,           0.0012803,           0.0071038,                   0,                   0,                   0,                   0,                   0,          0.00031298,                   0,             0.00658,             0.00658,             0.00658
                  21,            0.031773,           0.0012329,           0.0072655,                   0,                   0,                   0,                   0,                   0,          0.00028292,                   0,              0.0064,              0.0064,              0.0064
                  22,            0.029524,           0.0013066,           0.0073991,                   0,                   0,                   0,                   0,                   0,          0.00023041,                   0,             0.00622,             0.00622,             0.00622
                  23,            0.027788,           0.0011534,           0.0071105,                   0,                   0,                   0,                   0,                   0,          0.00025518,                   0,             0.00604,             0.00604,             0.00604
                  24,            0.027508,           0.0011724,           0.0071329,                   0,                   0,                   0,                   0,                   0,          0.00036727,                   0,             0.00586,             0.00586,             0.00586
                  25,            0.026827,           0.0011855,           0.0071531,                   0,                   0,                   0,                   0,                   0,          0.00032504,                   0,             0.00568,             0.00568,             0.00568
                  26,            0.026562,           0.0011834,            0.007304,                   0,                   0,                   0,                   0,                   0,          0.00038804,                   0,              0.0055,              0.0055,              0.0055
                  27,            0.027318,           0.0012098,            0.007403,                   0,                   0,                   0,                   0,                   0,          0.00041135,                   0,             0.00532,             0.00532,             0.00532
                  28,            0.026189,           0.0011678,            0.007272,                   0,                   0,                   0,                   0,                   0,          0.00046791,                   0,             0.00514,             0.00514,             0.00514
                  29,            0.026937,           0.0011231,           0.0070498,                   0,                   0,                   0,                   0,                   0,          0.00042034,                   0,             0.00496,             0.00496,             0.00496
                  30,            0.026994,           0.0012131,           0.0072237,                   0,                   0,                   0,                   0,                   0,          0.00057651,                   0,             0.00478,             0.00478,             0.00478
                  31,            0.025304,           0.0011494,           0.0072862,                   0,                   0,                   0,                   0,                   0,          0.00052157,                   0,              0.0046,              0.0046,              0.0046
                  32,            0.024981,           0.0011117,           0.0070955,                   0,                   0,                   0,                   0,                   0,          0.00044999,                   0,             0.00442,             0.00442,             0.00442
                  33,            0.024786,           0.0010975,           0.0068159,                   0,                   0,                   0,                   0,                   0,          0.00041737,                   0,             0.00424,             0.00424,             0.00424
                  34,            0.025251,           0.0011474,           0.0069586,                   0,                   0,                   0,                   0,                   0,             0.00049,                   0,             0.00406,             0.00406,             0.00406
                  35,            0.025168,           0.0011074,           0.0070524,                   0,                   0,                   0,                   0,                   0,          0.00056551,                   0,             0.00388,             0.00388,             0.00388
                  36,            0.025095,           0.0010577,           0.0069571,                   0,                   0,                   0,                   0,                   0,           0.0005552,                   0,              0.0037,              0.0037,              0.0037
                  37,            0.023785,            0.001048,           0.0071733,                   0,                   0,                   0,                   0,                   0,           0.0006006,                   0,             0.00352,             0.00352,             0.00352
                  38,            0.023927,           0.0010884,           0.0071044,                   0,                   0,                   0,                   0,                   0,          0.00059019,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.024113,           0.0010422,           0.0070325,                   0,                   0,                   0,                   0,                   0,          0.00062661,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.023138,           0.0011072,           0.0070628,                   0,                   0,                   0,                   0,                   0,          0.00069697,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.023401,           0.0010153,           0.0067613,                   0,                   0,                   0,                   0,                   0,          0.00071833,                   0,              0.0028,              0.0028,              0.0028
                  42,             0.02328,           0.0010326,           0.0067953,                   0,                   0,                   0,                   0,                   0,          0.00071934,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.023459,             0.00104,           0.0068084,                   0,                   0,                   0,                   0,                   0,          0.00061378,                   0,             0.00244,             0.00244,             0.00244
                  44,            0.021807,           0.0010007,           0.0069581,                   0,                   0,                   0,                   0,                   0,          0.00066533,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.022395,           0.0010283,           0.0068433,                   0,                   0,                   0,                   0,                   0,          0.00063732,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.020989,          0.00097531,           0.0068346,                   0,                   0,                   0,                   0,                   0,           0.0006901,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.021475,           0.0009607,           0.0068849,                   0,                   0,                   0,                   0,                   0,          0.00074269,                   0,             0.00172,             0.00172,             0.00172
                  48,            0.022382,          0.00099501,           0.0072567,                   0,                   0,                   0,                   0,                   0,          0.00069113,                   0,             0.00154,             0.00154,             0.00154
                  49,            0.022815,           0.0010203,           0.0071955,                   0,                   0,                   0,                   0,                   0,          0.00069591,                   0,             0.00136,             0.00136,             0.00136
